mmsi,bandera,año_construccion,capacidad_dwt,longitud_m,calado_m
101176,Liberia,2009,24364,315.6801782493866,13.029958141196134
101177,Liberia,2000,118944,122.79198590686734,6.1597286605066035
101178,Liberia,2002,58771,275.4566814658262,10.93325320223587
101179,Liberia,2006,41510,398.57294148319966,10.16344457372328
101180,Liberia,1995,74164,126.36828722014991,17.137191588019203
101181,Panamá,1999,49010,106.94130989764209,8.864298641287547
101182,Singapur,2014,114221,207.6783214436232,11.055488223967638
101183,Liberia,1994,129814,241.52487359221226,14.399779091534189
101184,Liberia,1996,33353,267.39134356946295,6.15949277654823
101185,Panamá,2008,87658,236.17299575328732,7.422583833972161
101186,Grecia,1993,97632,294.35841852157654,13.526527454281611
101187,Grecia,1999,15325,333.0121306142456,6.310199650255876
101188,Malta,2007,143380,118.14732855488967,8.725732953121057
101189,Malta,2014,70909,226.0873755197964,10.40586980212261
101190,Singapur,2019,56681,143.95625210161487,7.864433917348113
101191,Panamá,2017,30781,295.50123969620466,9.259394757833507
101192,Panamá,2014,15690,301.5884053418171,8.11492649340916
101193,Liberia,2019,120663,344.50201316268584,15.093865143095487
101194,Singapur,1992,130940,355.83834458242995,8.148479429604684
101195,Panamá,1998,121976,398.92581376329946,15.22863926064333
101196,Singapur,2001,124593,120.4436656467267,8.224964206753244
101197,Malta,1997,123511,355.7734692551186,5.813005852630003
101198,Malta,1995,26954,379.7124904680881,16.554369008742803
101199,Liberia,1996,125849,381.90268593253353,14.415418687047737
101200,Liberia,1996,109475,110.92831850518444,7.770990838080378
101201,Grecia,1998,43248,297.76957853160957,8.958059671955326
101202,Panamá,1990,124143,358.34716493458166,8.000278749807517
101203,Panamá,2009,56960,156.3776246833445,14.592083187604006
101204,Grecia,2005,68482,272.8617696606652,5.16779592840066
101205,Panamá,2015,26923,238.48958052586107,17.51922846159869
101206,Panamá,2001,106787,155.0280863513605,9.85669061515327
101207,Liberia,2009,43888,217.45215586650733,8.723712542528148
101208,Singapur,2019,59524,190.50927524687776,15.187890193625142
101209,Malta,2012,134378,354.90502719765556,9.179799502910491
101210,Malta,2019,143781,319.9807128573428,12.407502421680867
101211,Malta,2004,112041,101.98307705379787,10.306525021277459
101212,Panamá,2014,145194,267.088854378358,13.154151596331277
101213,Grecia,2017,136138,109.55835321866755,6.301988072654007
101214,Grecia,2006,50084,376.7056451621088,10.004512545667502
101215,Malta,2003,65862,111.51575756409325,16.72841354853757
101216,Liberia,2007,143786,155.10121534716126,17.682955479016154
101217,Grecia,1998,139936,160.79117265641338,6.490139450186768
101218,Liberia,2015,113020,340.930000662109,13.561832531561715
101219,Panamá,2020,92759,240.3875880800356,10.353245827369932
101220,Panamá,2017,7824,150.17695466909947,9.629797694109937
101221,Singapur,2005,149317,141.48205175471307,5.258517812325567
101222,Panamá,2012,48065,212.84714766940556,6.465793472611501
101223,Panamá,1992,133840,270.36053539084133,8.026026994933092
101224,Liberia,2013,121558,338.6530734148574,11.003803099667426
101225,Grecia,1994,111625,332.5729097627356,13.69018529973984
101226,Grecia,1991,22017,111.91696095411348,12.194983541493519
101227,Malta,2020,58514,294.6756939401562,10.590011006215773
101228,Liberia,2019,105612,104.83380953513335,13.11772970205534
101229,Liberia,2016,30190,271.0565538821827,10.600262063506445
101230,Singapur,1998,96049,152.81478273568933,9.712691678069131
101231,Panamá,2018,56315,358.237862849605,17.680177671333947
101232,Grecia,2004,140329,215.05893318721212,15.973554339191091
101233,Malta,2019,92120,352.3681829380057,6.329945150422464
101234,Singapur,2012,83519,374.44981399049107,13.661786284618117
101235,Singapur,2010,29998,219.99034812557784,17.93786537144663
101236,Panamá,2008,94319,278.1529816775707,13.032255857294757
101237,Grecia,2003,49133,379.5038357745533,7.91728141477175
101238,Malta,1991,71437,173.64218646943635,13.715158014882668
101239,Liberia,2000,126656,126.71351671154389,7.423041851101187
101240,Panamá,2021,127727,255.32158380237723,15.661943778618197
101241,Malta,1998,87918,265.29949641978664,11.847210261909044
101242,Panamá,2019,139624,230.0195301542314,8.539821970181992
101243,Liberia,2023,38596,390.6947635747723,9.50775182646938
101244,Liberia,2023,10117,226.49028457290322,14.318592240548941
101245,Malta,2023,6652,267.14211934373,6.502066479836221
101246,Panamá,1991,73493,117.6853556151257,16.77388302911641
101247,Liberia,2000,142174,113.14096454514318,6.564212671245511
101248,Singapur,2004,85885,274.73265930983797,10.370232404704463
101249,Liberia,2014,20877,375.117980651896,14.935908801358767
101250,Malta,2013,85622,346.73329554729537,15.174681430700074
101251,Grecia,2004,87697,269.168803400797,6.266293250466328
101252,Liberia,2004,143516,250.44314475632297,8.592738548224597
101253,Singapur,2019,78640,329.3649389814971,9.555040355541054
101254,Grecia,2019,80994,100.59352116364457,16.901314570476785
101255,Grecia,1992,137774,219.42085158585644,11.00102603674815
101256,Malta,1991,62243,129.25963460053924,16.700580704605258
101257,Singapur,2014,52962,246.19730194936514,16.13340300059241
101258,Liberia,1996,149708,332.2424229436416,5.500755229140603
101259,Liberia,2016,57199,244.40795747489486,14.079797743901667
101260,Singapur,1996,121284,190.38961516878013,16.44315022166691
101261,Liberia,1998,6665,239.8392617156505,9.762303297189597
101262,Panamá,1994,49271,205.82193960998507,11.297468615955767
101263,Malta,2019,71871,149.10699996069988,8.060579361113476
101264,Malta,2006,90277,326.53980366264074,11.792063261370856
101265,Liberia,2017,116004,159.8691367638827,9.594147152816308
101266,Malta,1999,39039,349.4210831303246,14.33675602417464
101267,Malta,1992,130243,293.74394496194094,8.087369616769237
101268,Singapur,2000,47716,344.5070868566098,11.63747109485028
101269,Panamá,2014,30695,141.2747535127954,11.090920352296866
101270,Singapur,1997,6920,216.73873743987747,10.243938507977003
101271,Singapur,2017,102445,138.9227276314948,8.256585152193328
101272,Singapur,2002,143570,100.13228641899889,14.267861100056473
101273,Liberia,2011,85382,326.81154991545685,7.8796061927516075
101274,Liberia,1994,20941,393.3391038014495,16.715841080128985
101275,Singapur,2022,30422,292.8173297693024,12.90940408159811
101276,Singapur,2023,116276,132.71216739703968,17.768708004537892
101277,Panamá,1994,140525,374.58281861464593,16.93118316284462
101278,Grecia,2021,125909,296.8074891544321,6.89187033329009
101279,Singapur,2002,64670,356.5564258996757,15.174839915401778
101280,Panamá,2022,94776,300.18409716704855,7.288186618919803
101281,Liberia,1995,130720,247.85078819127756,17.22419273210013
101282,Panamá,1991,104139,122.73400893902111,13.876821333169918
101283,Panamá,2004,90908,123.75374791632457,7.441134974724847
101284,Grecia,1990,100273,392.0513946168638,7.20786488828084
101285,Grecia,1992,13719,133.58595883836094,14.718279330549038
101286,Singapur,1999,14408,315.0001404549185,13.037179723793958
101287,Grecia,2023,103130,178.9390034761157,6.726651042326465
101288,Malta,2023,75822,391.29326411665187,11.532637059743077
101289,Liberia,1999,116819,252.3906333598155,15.745021950137458
101290,Malta,2011,68635,191.83360512931284,6.934093709718632
101291,Liberia,2023,24351,192.98932443541798,5.175709071763149
101292,Grecia,2023,128391,230.44984609578904,6.723451304024357
101293,Liberia,2003,98648,104.39205830928323,7.404577102347984
101294,Singapur,2014,87683,204.95148381751923,13.218181594271789
101295,Panamá,2012,88587,156.2069899732601,9.385331948367275
101296,Liberia,1991,52749,395.4106888951835,6.36199555822163
101297,Grecia,2023,141406,198.07190575134973,10.154118520957873
101298,Malta,2013,105285,151.317298693237,12.633504022652659
101299,Malta,2005,117221,392.2999840708955,8.973635184274743
101300,Grecia,2010,29965,131.97231667193952,12.578983435119836
101301,Grecia,2006,77254,309.43941799847426,16.851434185179087
101302,Liberia,2021,129572,130.6538496795501,10.22548959627889
101303,Singapur,2003,70148,103.31400010567313,17.240583787299308
101304,Liberia,2017,111444,332.98195785520227,16.182384871324142
101305,Panamá,2022,29236,112.8800226555724,5.282945247176338
101306,Grecia,1996,46242,225.54100472235007,13.697555974451312
101307,Grecia,2003,119549,317.2738621421907,9.421239989685759
101308,Singapur,1995,138716,304.60088480218934,8.308386222246714
101309,Liberia,2000,81304,107.87575134705894,14.583395408003794
101310,Liberia,2016,114231,108.3797416043245,14.478501521479801
101311,Panamá,2015,135463,208.86643268185102,13.940188886548077
101312,Panamá,2023,14315,362.2777250918161,5.498580908055167
101313,Liberia,2014,75293,370.4017433312145,12.706985519671658
101314,Panamá,2007,129426,246.34798194763138,12.739596716188823
101315,Malta,2017,131261,149.0855677600207,17.56943699688595
101316,Singapur,1999,147553,322.69994154037386,15.139111205096462
101317,Malta,1998,125575,197.36129491646105,9.691271544622579
101318,Liberia,2010,50176,392.6692615057708,13.283195413067565
101319,Singapur,2015,40050,333.84992692230963,16.570663606944677
101320,Singapur,2022,71579,129.10650134845093,15.581661111177791
101321,Singapur,2014,22845,336.3961741757356,10.644254594416305
101322,Grecia,1992,61090,352.8393413819198,17.031112842152144
101323,Liberia,2008,79205,217.93086581610524,17.658140867879588
101324,Malta,2001,21502,138.3777324949207,14.995364540934792
101325,Singapur,2019,64647,257.19484474455527,7.284376036335314
101326,Liberia,2023,26210,326.7022089780075,14.715045793206142
101327,Liberia,1997,23243,399.27493330879577,10.232952934128454
101328,Singapur,2003,113093,371.86020028997837,8.175649871628835
101329,Grecia,2000,24590,374.9895381133067,6.494531560493977
101330,Panamá,1997,36153,324.41630862505406,6.325398939065379
101331,Grecia,2008,65615,332.9888320193431,10.244619450416968
101332,Panamá,2010,25771,208.78903126382775,12.303636074457563
101333,Panamá,2008,15090,138.28722759495753,13.807862451736066
101334,Singapur,2022,46577,399.49823811605796,16.263210214846413
101335,Liberia,2011,135481,107.31767289648747,6.883488355519944
101336,Liberia,1992,147428,256.8749464447999,9.080612407866003
101337,Panamá,1998,107985,297.24449141509575,5.425139949017697
101338,Panamá,2020,134798,250.92553111059377,13.641701315208408
101339,Malta,2016,97813,252.60387799424043,5.296016391274097
101340,Panamá,2009,55740,242.4059474047141,5.600877397156851
101341,Liberia,2000,129767,276.21164677538616,12.775826143410539
101342,Singapur,2006,43926,239.74818921007937,7.517539950964139
101343,Singapur,2017,79619,270.51378570665,13.552131556399637
101344,Panamá,1992,37269,123.35151704644629,9.631286395461606
101345,Malta,1992,77706,217.94448979762265,8.371115790927417
101346,Liberia,2011,123240,385.6728508791877,14.886782309719825
101347,Liberia,2005,60961,262.5959793578252,14.637096698560395
101348,Liberia,1999,17627,389.60191859951806,5.789206265061597
101349,Malta,1991,52354,206.33394167616217,14.417854126535177
101350,Malta,2001,120496,120.24462057839817,17.297075157513913
101351,Panamá,2003,52392,105.76809040049797,11.156541810855227
101352,Malta,2005,70006,371.0673488783675,11.917802700244536
101353,Singapur,2000,95994,187.74879751085797,9.399750207404917
101354,Liberia,2012,131653,178.54844463568787,14.93097668187799
101355,Liberia,2018,64339,369.7842991588961,14.940348045781205
101356,Liberia,2000,55252,149.73312057654425,16.591419873763634
101357,Malta,1999,102085,231.31877310793206,14.403132353834383
101358,Grecia,2005,62094,384.81177925369064,17.733541678735435
101359,Malta,2004,69178,290.73165653219644,17.610867196896546
101360,Panamá,2014,118477,388.9990636821428,10.310061030441378
101361,Malta,2023,128502,172.46117528927124,14.379892476419133
101362,Singapur,1993,147274,185.52169381127382,5.236514363976729
101363,Singapur,2001,63201,302.858346814115,10.013820440772932
101364,Liberia,2005,24913,397.95444313019914,10.309613372252374
101365,Singapur,2011,141411,303.5160258224079,15.80459648801885
101366,Grecia,1995,126276,317.0723012220413,8.546940038302713
101367,Panamá,2022,99299,154.58460861802283,7.782273222107513
101368,Panamá,2008,141530,345.2099099555621,11.010727685310929
101369,Liberia,2004,90554,315.28684915889875,7.949304258898892
101370,Liberia,2017,75475,239.9185558864937,7.280890238299467
101371,Panamá,2005,12001,270.84445869506357,11.162906765558816
101372,Liberia,1996,95849,287.08540416417713,8.542862627186658
101373,Malta,2014,109155,124.28064910277575,6.582035044658977
101374,Grecia,2001,126694,390.6464637275178,8.319921021011167
101375,Malta,2023,128430,283.1977785437489,14.716966863958255
101376,Singapur,1992,69838,267.18401164502046,6.415788376321961
101377,Singapur,2001,90259,262.28821655283076,6.238904887252144
101378,Malta,2009,56178,393.6407388694283,10.31171679664028
101379,Singapur,2014,114350,372.75458513304284,7.110974503912772
101380,Grecia,2018,136502,174.50311316402818,10.035065616734096
101381,Liberia,2019,19869,110.4217566619218,16.908283701109738
101382,Panamá,2017,29493,329.1908068485632,6.9200041826817635
101383,Malta,2008,12983,167.88426954304097,14.335785516815196
101384,Singapur,1991,47743,142.7584539622069,5.990436019037302
101385,Singapur,2010,100152,399.749472932189,15.109599011021073
101386,Malta,2002,126614,220.8846332405539,17.156639957832844
101387,Singapur,2003,142736,322.90717116738017,15.115613141522365
101388,Malta,2020,102386,195.4685392162171,16.465378004096173
101389,Singapur,2006,129897,107.61287012659751,14.640184639918225
101390,Panamá,2001,132272,168.9013192739546,8.573689910439686
101391,Liberia,2005,94416,122.02432547646575,7.988014427952588
101392,Grecia,2012,40483,137.15780679285356,16.699881439172035
101393,Singapur,2005,64312,339.2506833616475,5.409048292261468
101394,Panamá,2010,132347,377.8675405809605,12.021814692791965
101395,Malta,2000,63508,389.0957416997371,9.37180928572544
101396,Singapur,2001,89063,219.50288557636537,16.858265039147806
101397,Grecia,2015,15518,185.43877231947775,7.151070868322368
101398,Grecia,2015,101261,338.3390739786678,9.789728540757896
101399,Singapur,2023,11728,240.21019675190158,6.268203664175162
101400,Malta,2005,49778,346.5383331902131,17.1955591194344
101401,Singapur,2004,114283,353.13471633490616,9.366053676937321
101402,Malta,1995,57159,388.7763920788006,9.840449825349578
101403,Malta,1999,20603,200.87881701819765,5.791856413051973
101404,Singapur,2008,78252,183.10413580525397,6.3298817031615116
101405,Malta,1995,51081,262.6687606908764,17.125797013257337
101406,Liberia,2023,22690,245.93579833604838,13.40320871340303
101407,Malta,2000,15204,385.0641244371508,12.9669301729291
101408,Panamá,1992,6181,199.2639337991261,15.25076951935229
101409,Malta,2001,104462,317.71066959485177,13.188044864263714
101410,Liberia,2022,97018,207.9204462507724,8.303064019401377
101411,Liberia,2020,44081,104.70011754158025,16.869879051960087
101412,Grecia,2015,145386,121.43947367230405,8.19859557998192
101413,Liberia,2022,57925,143.94605460826347,15.67560620199512
101414,Singapur,1998,8147,222.23789537330723,8.654230631785737
101415,Singapur,2019,59983,305.5320628011344,8.307171289945767
101416,Malta,1996,34011,212.7780273884483,12.54572169823228
101417,Liberia,1999,115362,343.8766800341894,6.754672118901262
101418,Singapur,2007,12009,382.40154780885047,9.870417268928781
101419,Liberia,2006,22451,377.91640849440137,11.558185601677474
101420,Liberia,2017,90686,107.62036846429494,16.588503534252677
101421,Grecia,1996,45242,105.53811655542175,9.981273882894214
101422,Singapur,2015,143249,328.64921981408145,5.575674055491101
101423,Malta,2003,75589,287.4719860458556,15.641278903266766
101424,Singapur,1992,148426,192.16110484357424,13.011678903042164
101425,Grecia,2022,45092,374.45178093577675,13.843937903906788
101426,Malta,1997,85190,114.32667693581567,6.169408345843323
101427,Malta,2022,113516,176.45592090865446,7.301180223614234
101428,Liberia,2018,51267,180.14372426533626,12.120108534249244
101429,Singapur,1997,121063,131.2198413120267,7.622109366733163
101430,Panamá,2013,77522,269.1199345009746,15.636752626348954
101431,Panamá,2003,26189,146.17032994258054,5.316971988613944
101432,Panamá,2002,131467,298.11907316788677,15.631284823823691
101433,Liberia,1995,40141,305.1615572024782,11.038704069667064
101434,Panamá,1996,90678,294.2877460224945,12.663535784475524
101435,Panamá,2010,115265,323.3997346184343,7.58513121832892
101436,Malta,1992,54218,398.3433143892838,10.050439037091195
101437,Malta,2011,103110,341.8839753111247,12.479905315100643
101438,Panamá,2002,20240,237.80794979373567,7.08035485769653
101439,Liberia,2020,54606,187.1383128635705,10.070743264074386
101440,Grecia,2018,139506,165.49365645794228,13.783182193521764
101441,Liberia,2003,38234,352.77853639743773,16.74029025249182
101442,Grecia,2003,140849,335.0275174655946,8.341025955824449
101443,Malta,1994,19694,133.43087089321008,14.867949945014855
101444,Panamá,1991,114528,382.97310129970606,6.663555765923413
101445,Singapur,2007,17405,259.21593094142315,7.446047701849815
101446,Grecia,2006,83196,135.29476957930504,15.54200074124793
101447,Panamá,1995,92442,389.9601685374176,16.208801115212918
101448,Malta,2017,82136,225.14617815135983,12.048552116453497
101449,Panamá,2008,120096,242.46229466204633,7.164874608627064
101450,Panamá,2017,53828,307.5017223690909,7.398828271499361
101451,Singapur,2015,125688,203.560995960556,17.303002438507942
101452,Grecia,1993,48307,112.45019992129478,12.21964650391024
101453,Panamá,2021,136268,299.6744084707462,9.05955728298034
101454,Grecia,2005,101892,207.66393530944606,12.65211204538078
101455,Grecia,1995,28625,289.35354040227213,8.59702408978697
101456,Liberia,2008,24301,330.3795771647529,14.621625911330188
101457,Singapur,2005,50423,109.83982570192967,7.243014830139586
101458,Malta,2012,43190,294.03579664383227,8.539238514719983
101459,Liberia,1999,149588,348.2236308448813,14.344209664266632
101460,Malta,2010,113211,103.77654426138764,5.649324470730965
101461,Liberia,2006,56257,196.8201239942739,17.93445745909564
101462,Grecia,2008,39172,306.94128868413185,9.332695726729119
101463,Panamá,2016,136971,352.4494993961164,14.066993836106898
101464,Grecia,2008,33055,308.4403617980163,6.076122360409216
101465,Panamá,2003,123201,348.8606783985614,12.373318840992843
101466,Panamá,1993,130888,355.24863374371,11.964483618849565
101467,Liberia,2017,72341,337.8768275437459,8.428262768882547
101468,Grecia,1998,49132,195.84381124630826,9.521753292427407
101469,Singapur,2023,92002,172.34827556620235,16.035143042433816
101470,Liberia,2013,81164,244.07771195573795,8.032753788519209
101471,Malta,2013,119496,272.0923838678669,13.965530051215078
101472,Singapur,1996,78898,109.04562833144715,10.84758543171088
101473,Liberia,2014,53660,372.3180132811727,11.625802295486613
101474,Malta,2007,104339,211.7956135038803,9.792377380085458
101475,Malta,1998,125769,148.4867316875885,15.210220396555306
101476,Singapur,2007,67406,162.87907577036714,5.062223101326962
101477,Singapur,2014,52200,192.9822218744486,7.315938007785513
101478,Liberia,2004,64874,208.21834456118088,9.65839852979941
101479,Panamá,1996,42833,374.10462394022096,7.700397303896654
101480,Panamá,1997,46510,206.2860590598944,12.09726615555099
101481,Grecia,1996,24386,169.97960347060078,13.971417739174527
101482,Malta,2005,96247,216.0608930552771,12.650343592876311
101483,Liberia,2012,64302,153.35466239153652,11.40829527343997
101484,Liberia,2005,46406,245.74253023264006,13.989206893812934
101485,Malta,2009,11465,378.6943961016985,16.546577783771774
101486,Malta,2014,9849,324.3866311249342,13.93582453275648
101487,Grecia,2005,144559,366.8430598461717,13.68451629353919
101488,Malta,2013,109780,393.3959576966752,17.03391804901113
101489,Singapur,1993,132212,215.09729970968766,17.45871343851082
101490,Panamá,2002,43119,154.3099569024692,7.689469878280521
101491,Grecia,2005,65686,295.7768661904816,9.269693643439036
101492,Panamá,2002,105814,300.762249530501,5.153820655326712
101493,Liberia,1992,78302,293.46453978349166,9.614224661087752
101494,Malta,1998,146056,330.23405103573907,14.415071152012368
101495,Malta,2012,59826,160.65537985581622,17.682366950640734
101496,Panamá,2013,130446,103.9196618191247,5.172718651718546
101497,Grecia,2011,77394,250.1719002122497,6.498785414981089
101498,Singapur,2017,83990,144.12736463770253,11.828799295699849
101499,Liberia,2005,131789,108.42666567223664,6.4161770582911295
101500,Panamá,2016,26970,237.80118711079768,5.650761052212922
101501,Singapur,2004,67014,303.719091680943,10.767747174876233
101502,Panamá,2015,8594,261.34766113885314,14.345188400079197
101503,Malta,1990,74529,109.48435791616352,9.358532248234942
101504,Grecia,2003,9725,158.27696002893776,7.660668232076662
101505,Liberia,2011,79528,228.84147371475126,9.495425900391684
101506,Singapur,2003,87008,344.89480660435163,6.694773481864231
101507,Grecia,2011,129130,188.685142711305,9.617079974254374
101508,Malta,2007,90677,356.6314768951395,11.412301325053013
101509,Malta,2001,88571,351.07733266054436,5.957803566740713
101510,Grecia,2015,83820,287.46114854675614,12.131822778360371
101511,Grecia,2000,17163,353.6762648945503,11.619441149044258
101512,Panamá,2023,130572,296.7649476743969,10.34201678838442
101513,Grecia,1996,75345,156.73097477520994,13.084283330398653
101514,Singapur,2023,96301,103.500536342268,17.13997113919202
101515,Liberia,2013,145663,278.8511080511596,9.231992133505448
101516,Panamá,2017,115102,161.65005556784467,6.728361012849573
101517,Singapur,2022,61409,283.10808726387825,14.614218051600412
101518,Grecia,2023,65502,165.34410651952822,8.252393090997785
101519,Malta,2000,134167,138.21240086436683,14.41911876924087
101520,Grecia,1991,110952,226.29025304014718,8.60257965418376
101521,Singapur,1991,99983,324.6752403325919,6.493358102285426
101522,Liberia,2009,81516,170.73416888052589,17.998077473833558
101523,Liberia,1997,134944,351.62612594909416,11.892598119251163
101524,Grecia,2023,74804,367.7880460801059,14.66641295229381
101525,Grecia,2022,50883,176.8111699215,10.093496786756612
101526,Liberia,1996,85762,177.7968311038517,16.802774125284778
101527,Malta,1994,90826,206.98502861938664,15.75314314066228
101528,Singapur,2021,34473,313.584384632332,15.790205956271393
101529,Malta,1993,53034,136.846457389112,15.375401223649035
101530,Liberia,1994,51690,338.3109066231088,12.573950898268006
101531,Singapur,2009,56969,255.02135485120598,11.264942728895733
101532,Panamá,1990,15733,279.42335031405986,13.478829771504596
101533,Singapur,1997,58126,344.2656061396666,8.569621299517541
101534,Malta,1994,73150,130.20366338967168,12.003453505790429
101535,Malta,1997,53363,359.78247173716915,13.835192019855558
101536,Singapur,2000,17341,382.9179317003717,6.191804009579461
101537,Grecia,2021,144260,305.76097443764877,14.82944429524421
101538,Singapur,2009,84782,330.6259523866071,11.15184808176201
101539,Liberia,2016,44922,138.46964103316674,17.356602550982608
101540,Singapur,2012,16815,255.28291695978916,17.344503770831704
101541,Malta,2017,72993,174.62979518771914,15.961853065899765
101542,Grecia,1998,108483,338.02977873452346,10.51789071945887
101543,Grecia,1993,119129,338.10630379807696,14.362839188393139
101544,Grecia,2008,133592,214.21302033769285,7.890262441716803
101545,Panamá,1995,62524,313.90326745813616,8.754428836302573
101546,Malta,2013,63669,256.2266622165514,12.50487999271961
101547,Grecia,2014,123451,253.86224689477424,14.605003274734916
101548,Grecia,1995,64754,300.34218128141043,10.6747038635009
101549,Malta,2002,47682,275.80700795892903,15.252848109734641
101550,Panamá,2013,115130,149.9286551211741,13.279547293480116
101551,Grecia,2012,14530,286.6997997319501,9.114945499659909
101552,Grecia,2022,29964,228.7613913685013,8.643688459372294
101553,Malta,2015,17845,235.16142080964627,15.25517448621136
101554,Malta,2016,18316,339.41005226660053,8.897451212955229
101555,Singapur,2023,149319,325.48765541833455,7.768853347043112
101556,Panamá,2013,41161,315.5348371871461,14.48192644279335
101557,Liberia,2015,30888,351.0569793054227,5.841854936434339
101558,Liberia,1995,107185,159.65169743216032,7.75268130888719
101559,Liberia,2017,140443,249.82084297160503,16.030606252811594
101560,Liberia,1995,6171,388.1530672514659,12.055581947306415
101561,Liberia,1990,51753,130.28973860358136,12.062121685425312
101562,Panamá,2015,107785,381.09151907337696,16.154372780961918
101563,Malta,2023,137357,143.40280543030468,15.561425989640936
101564,Malta,2014,14099,112.2881945720494,15.214211410056203
101565,Liberia,2022,87587,157.99180142908074,9.619516700307495
101566,Panamá,2023,143036,235.29807258931746,7.575951608610823
101567,Singapur,2018,19278,181.32230752611304,12.098788120373335
101568,Singapur,2010,89438,235.80814385724003,12.213856614386117
101569,Singapur,1997,116871,241.46888079122226,5.602121239424882
101570,Panamá,2002,147202,397.6934119716474,10.459969373667478
101571,Grecia,2020,60955,265.8926047190979,11.985056383475168
101572,Singapur,1991,137304,330.7066347183354,11.322624037842372
101573,Malta,2005,64509,128.00068548388464,17.775472828254543
101574,Liberia,2016,140992,280.7273944967054,7.755153053689993
101575,Grecia,2006,74804,183.11256780846824,7.046515862257845
101576,Liberia,2001,97990,179.05801193202743,16.469164745771536
101577,Malta,2013,55865,398.48593055005585,17.170095314969068
101578,Liberia,2021,26332,194.01971366888105,16.18644200071127
101579,Panamá,2011,59883,361.4351625539744,16.699166778923598
101580,Panamá,1998,135260,238.2978764720186,11.477155286678746
101581,Malta,2021,88933,214.3615548356397,16.523288125642026
101582,Singapur,2007,10235,142.28695209698947,11.46363477313679
101583,Singapur,2012,28005,298.89743222921453,10.043581007292609
101584,Liberia,2005,65142,260.33172127145616,7.34108766296978
101585,Malta,2017,43213,285.78103899765557,14.925867146331845
101586,Malta,2005,111454,350.04113024809595,12.694362728126476
101587,Panamá,1992,18067,338.66070340233824,9.742334747045097
101588,Singapur,1991,44194,130.30073961502953,5.378699984073861
101589,Singapur,2017,38655,114.24554793319935,13.721535453550379
101590,Grecia,1995,11320,257.6516958925579,14.118944185478814
101591,Panamá,2009,62429,137.4110872871303,6.011123336267175
101592,Singapur,2019,33590,391.9618008721329,12.430210289251262
101593,Singapur,2021,26947,299.73578979963696,9.978811635811965
101594,Liberia,1995,115452,362.7485284290125,13.542129417616662
101595,Singapur,2014,66822,108.14502971130922,9.575905951587877
101596,Liberia,1998,116345,237.43188039170326,14.464403260477413
101597,Singapur,2000,37361,238.22857186277483,6.707051018625357
101598,Liberia,2011,114678,173.05636464245762,8.470072364350772
101599,Panamá,2022,41078,125.65215991907421,13.55210354020252
101600,Liberia,2019,92802,183.57466110578758,15.551102704922362
101601,Singapur,2013,112709,304.6357684211835,14.962333809017942
101602,Panamá,2005,75636,110.29750388752178,10.838908921810644
101603,Malta,2000,9815,249.69974621994393,8.927630544167
101604,Singapur,1996,72521,232.9346878084939,10.445080155663309
101605,Singapur,1998,57646,179.00104392198205,10.787177149475674
101606,Grecia,2006,12561,189.23711243650067,6.500318230194427
101607,Grecia,2001,106195,165.28906153863502,7.723797742135291
101608,Panamá,2015,142661,294.35420354901066,7.802065011573754
101609,Malta,1998,24277,241.3037344586388,8.525453048842628
101610,Liberia,1993,132402,332.6257157047239,11.50136457919514
101611,Grecia,2004,43719,311.2986352804161,8.174160201142726
101612,Malta,2013,22280,265.66552404181414,16.470049436235346
101613,Malta,1994,43345,391.1562154205068,16.90120754216135
101614,Panamá,2016,108245,217.65756328304207,17.824961821546733
101615,Liberia,2003,113308,362.63915725583604,7.152726225043493
101616,Panamá,2018,18962,243.07614091129406,14.420093618863538
101617,Malta,2000,40122,166.66019250636808,16.448163828572557
101618,Liberia,2019,41848,291.2324906356824,5.824993763222053
101619,Singapur,2006,53673,248.32093029483096,15.685143225563374
101620,Grecia,2007,40232,201.79350754255927,12.658169928551876
101621,Liberia,2022,100352,354.34850746578337,8.926395619044126
101622,Grecia,2023,46719,120.01709508106433,12.614227221467065
101623,Singapur,2014,73773,196.90583425322436,11.986148595450317
101624,Panamá,1991,33982,319.2380597887294,14.86091205783337
101625,Panamá,2013,17876,154.00685278961024,7.603037686856443
101626,Malta,1995,117840,248.80741637555855,7.7338052645660715
101627,Panamá,1992,124818,208.7136880659154,6.111925480228163
101628,Liberia,1996,63272,198.66913401222843,12.605044533015912
101629,Grecia,2011,52259,224.4773777538415,14.437787345820933
101630,Liberia,2019,64248,261.9550668682297,11.44644942232144
101631,Grecia,2001,129789,191.99895171658804,12.125677653390458
101632,Singapur,2022,102383,220.94530401118507,8.910913116915397
101633,Grecia,1998,83637,286.8663817034039,10.852528887961126
101634,Malta,2016,52160,199.39590311779168,16.238612604824986
101635,Panamá,1995,57711,360.78606047571344,16.1818325420557
101636,Liberia,2010,57734,340.8900516420375,15.760670758383698
101637,Liberia,2005,43925,142.6273734495095,6.600990019323719
101638,Panamá,2009,148904,354.4887860389481,17.6514812954772
101639,Singapur,1992,31358,154.1717345817211,6.077267895889575
101640,Grecia,2005,48239,134.77257306540255,17.607075140885367
101641,Liberia,2001,84305,393.095995572288,13.965548522271026
101642,Malta,2007,43111,265.02021936752374,16.674268325128914
101643,Liberia,2014,121676,360.61219102548347,14.36246156649286
101644,Panamá,2007,30969,174.00061156044487,15.210790624412214
